name,lat,lon,area_m2,daily_orders,traffic_level
Whitefield East,12.9698,77.7500,850000,1450,High
Koramangala Central,12.9352,77.6146,620000,1980,High
Indiranagar North,12.9784,77.6408,540000,1620,Medium
Electronic City Extension,12.8452,77.6602,910000,1340,Medium
Jayanagar South,12.9250,77.5938,700000,1100,Medium
Hebbal Ring,13.0358,77.5970,480000,780,High
Marathahalli Junction,12.9569,77.7011,610000,1560,High
Banashankari West,12.9081,77.5571,730000,890,Low
HSR Layout,12.9121,77.6446,560000,1710,Medium
Yelahanka New Town,13.1007,77.5963,950000,640,Low
RT Nagar,13.0198,77.5921,400000,720,Medium
Malleshwaram Heritage,13.0035,77.5709,470000,980,Low
